originating_name,target_name,reaction_count,message,name,description,link
ano,idnes,158,Tak tohle je oproti našim končinám úplné sci-fi.,VIDEO: Japonci během pouhých sedmi dnů opravili kráter v centru Fukuoky - iDNES.cz,,http://zpravy.idnes.cz/japonsko-fukuoka-propad-ulice-krater-oprava-fmn-/zahranicni.aspx?c=A161115_081644_zahranicni_jan
ano,dvtv,155,Sledujete živý přenos z Oslav v podhradí. Sdílejte a pozvěte i svoje přátele ke sledování přenosu.,Oslavy vzniku Československa na Staroměstském náměstí v Praze,,https://www.facebook.com/DVTV.cz/videos/1765062810409384/
ano,idnes,147,Oproti běžnému stavu českých silnic už asi není jízda po kolejích velkou změnou...,"Seniorka považovala trať za špatnou silnici, minula i zastávku s lidmi - iDNES.cz",,http://ostrava.idnes.cz/opakovana-situace-v-ostrave-ridicka-uvizla-v-kolejisti-pik-/ostrava-zpravy.aspx?c=A161118_151746_ostrava-zpravy_woj
ano,dvtv,143,"Hradčanské náměstí - Dalajláma v Praze. Děkujeme, že nás sledujete a sdílíte.",VÍTÁNÍ DALAILAMY V PRAZE,,https://www.facebook.com/DVTV.cz/videos/1759675300948135/
ano,kdu,138,,Jan Farský,"Tohle je hloupé. 

EET je samo o sobě dost kontroverzní. Osobně nevěřím, že se rozpočtu vyplatí, možná stoupne výběr daní, ale už od mnoha lidí vím, že s podnikáním prostě skončí - důchod je blízko, nebo půjdou radši na pracák. Rozpočtově nula od nuly pojde, nedůvěra v lidi a likvidace aktivních napáchá obrovské škody. Stát má předně nejprve efektivně nakládat s tím, s čím už dnes hospodaří. Pak hledat miliardy, milióny, tisíce. Začít honbou po halířích je nesmyslné. 

A když k tomu ještě přistoupí tak, že nové povinnosti platí pro všechny, ale pro stát ne, je už to jen další z příkladů arogance moci, který se současnou vládní politikou rozmáhá. 

Nevím jestli je to pravicové nebo levicové, ale určitě je minimálně slušné chovat se tak, jak vyžaduji od ostatních. Pokud se stát staví do role nadřízeného a z občana dělá prostého poddaného, je to cesta do pekel. 

Kolegové s ANO, ČSSD, KDU-ČSL, EET se vám nepovedlo. A tohle tomu nasazuje korunu.",https://www.novinky.cz/domaci/419152-statni-stat-neosidi-bufety-a-jidelny-v-parlamentu-se-eet-vyhnou.html
ano,svobodny forum,135,"Herečce Báře Štěpánové přišla po jejím zcenzurovaném vystoupení v Show Jana Krause velmi zvláštní textová zpráva podepsaná ministrem financí Andrejem Babišem. Svobodnému fóru popsala, jak všechno probíhalo, i co ji trápí na současném dění v České republice.","Bára Štěpánová: Nejde jen o ohavného prezidenta, ale i o Babiše a o naši svobodu","Herečka, signatářka Charty 77 a spoluzakladatelka někdejší Společnosti za veselejší současnost Bára Štěpánová zmínila jako jediná v původně zcenzurované Show Jana Krause i to, že „bylo kdysi takové heslo: Republiku si rozvracet nedáme. Tak prosím pěkně: Naši zemi si ukrást nedáme. Ani tím monstrem n...",http://svobodneforum.cz/bara-stepanova-nejde-jen-o-ohavneho-prezidenta-ale-i-o-babise-a-o-nasi-svobodu/
ano,svobodny forum,135,"Skvělý úspěch: Rozhovor s Bárou Štěpánovou má za 24 hodin už 100 tisíc zobrazení. Je to proto, že se Bára nebojí a říká věci přímo.","Bára Štěpánová: Nejde jen o ohavného prezidenta, ale i o Babiše a o naši svobodu","Herečka, signatářka Charty 77 a spoluzakladatelka někdejší Společnosti za veselejší současnost Bára Štěpánová zmínila jako jediná v původně zcenzurované Show Jana Krause i to, že „bylo kdysi takové heslo: Republiku si rozvracet nedáme. Tak prosím pěkně: Naši zemi si ukrást nedáme. Ani tím monstrem n...",http://svobodneforum.cz/bara-stepanova-nejde-jen-o-ohavneho-prezidenta-ale-i-o-babise-a-o-nasi-svobodu/
ano,svobodny forum,135,"Jeden z nejčtenějších rozhovorů na Svobodném fóru. Nejen o tom, jak Báru Štěpánovou pozval na večeři Andrej Babiš.","Bára Štěpánová: Nejde jen o ohavného prezidenta, ale i o Babiše a o naši svobodu","Herečka, signatářka Charty 77 a spoluzakladatelka někdejší Společnosti za veselejší současnost Bára Štěpánová zmínila jako jediná v původně zcenzurované Show Jana Krause i to, že „bylo kdysi takové heslo: Republiku si rozvracet nedáme. Tak prosím pěkně: Naši zemi si ukrást nedáme. Ani tím monstrem n...",http://svobodneforum.cz/bara-stepanova-nejde-jen-o-ohavneho-prezidenta-ale-i-o-babise-a-o-nasi-svobodu/
ano,rudy kurvy,104,Souhlasíte s touto výzvou?,"Filip chce, aby Herman rezignoval. Tvrdí, že lže a škodí Česku","Jiří Brady nedostal 28. října na Pražském hradě státní vyznamenání. Podle předsedy největší opoziční strany KSČM Vojtěcha Filipa je zřejmé, že ministr kultury Daniel Herman (KDU-ČSL) lhal, když tvrdil, že Brady vyznamenání dostat měl a Hrad ho na poslední chvíli vyškrtl. Filip proto vyzval Hermana k...",http://www.ceskatelevize.cz/ct24/domaci/1946158-filip-chce-aby-herman-rezignoval-tvrdi-ze-lze-a-skodi-cesku
ano,cssd,103,"„My tady nemáme žádnou silnou muslimskou komunitu. Popravdě řečeno si ani nepřejeme, aby se tady nějaká silná muslimská komunita vytvořila.“ Bohuslav Sobotka",B. Sobotka: Nechceme tady mít silnou muslimskou komunitu,"S německou kancléřkou Angelou Merkelovou hodlá premiér Bohuslav Sobotka (ČSSD) ve čtvrtek v Praze projednat svůj návrh na zřízení evropské armády. V rozhovoru pro Právo řekl, že nechce, aby se v Česku vytvořila silná muslimská ...",https://www.cssd.cz/media/cssd-v-mediich/sobotka-nechceme-tady-mit-silnou-muslimskou-komunitu/
ano,echo,98,"""Pan Herman se zřejmě snažil nějakým způsobem podpořit vyznamenání pro svého strýce, pan prezident se snažil zabránit schůzce ministra Hermana s dalajlamou. Každý po tom druhém něco chtěl a vzájemně se zklamali. Z toho pak vyplynuly ty hořkosti,"" říká v rozhovoru pro Týdeník Echo premiér.",Sobotka: Organizátoři na Staroměstském náměstí zneužili naštvanosti lidí - Echo24.cz,"Tři týdny po krajských volbách, které pro vládní ČSSD znamenají vyklízení pozic, přišel tento týden šok. Dva průzkumy (STEM a CVVM), v nichž sociální demokracie začala výrazně ztrácet na koaliční ANO Andreje Babiše, v obou případech o patnáct procent. Mezitím se udála řada dalších věcí: návštěva dal...",http://echo24.cz/a/w5jnV/sobotka-organizatori-na-staromestskem-namesti-zneuzili-nastvanosti-lidi
ano,dvtv,97,"moderátor: Martin Veselovský  
host: Jiří Ovčáček
Více není potřeba dodávat. Rozhovor zde: https://goo.gl/jqRUlG

A když nás podpoříte v anketě Křišťálová lupa, tak se zlobit nebudeme. Hlasujte pro DVTV: http://kristalova.lupa.cz/hlasovani/",Rozhovor s Jiřím Ovčáčkem,,https://www.facebook.com/DVTV.cz/videos/1767081956874136/
ano,novinky,95,A je to. Donald Trump se stal 45. prezidentem USA.,"Miliardář Trump je prezidentem, nezastavila ho ani Clintonová","Realitní magnát Donald Trump se stal 45. prezidentem Spojených států. Favorizovanou Hillary Clintonovou porazil establishmentu a elitám navzdory díky tvrdošíjné kampani, v níž frustrovaným voličům sliboval změnu a obnovu prosperující a silné Ameriky.",https://www.novinky.cz/zahranicni/amerika/420112-miliardar-trump-je-prezidentem-nezastavila-ho-ani-clintonova.html
