party	page	user_count
ANO	iDNES.cz	739
ANO	DVTV	721
ANO	ParlamentníListy.cz	524
ANO	EuroZprávy.CZ	510
ANO	ČT24	470
ANO	Echo24.cz	449
ANO	Novinky.cz	421
ANO	Týden	403
ANO	Aktuálně.cz	378
ANO	TN.CZ	331
ANO	Hospodářské noviny	305
ANO	Týdeník Respekt	275
ANO	Svobodné fórum	273
ANO	Český rozhlas - Radiožurnál	271
ANO	Časopis Reflex	262
ANO	lidovky.cz	261
ANO	Českoaktuálně.cz	259
ANO	NEOVLIVNI.CZ	223
ANO	Týdeník Policie	221
ANO	Protiproud	199
BPI	ParlamentníListy.cz	1310
BPI	EuroZprávy.CZ	957
BPI	Protiproud	858
BPI	Českoaktuálně.cz	674
BPI	Echo24.cz	654
BPI	EPORTÁL.cz	618
BPI	svobodnenoviny.eu	601
BPI	iDNES.cz	576
BPI	AC24	493
BPI	Bez politické korektnosti	460
BPI	DVTV	402
BPI	CzechFreePress	385
BPI	Novinky.cz	365
BPI	Týden	351
BPI	Sputnik Česká Republika	335
BPI	Svobodné fórum	295
BPI	Časopis Šifra	293
BPI	Časopis Reflex	259
BPI	inStory.cz	227
BPI	TN.CZ	221
ČSSD	Echo24.cz	1084
ČSSD	ParlamentníListy.cz	930
ČSSD	EuroZprávy.CZ	897
ČSSD	iDNES.cz	849
ČSSD	DVTV	680
ČSSD	Českoaktuálně.cz	611
ČSSD	Protiproud	584
ČSSD	Týden	580
ČSSD	Deník.cz	561
ČSSD	Svobodné fórum	560
ČSSD	Novinky.cz	482
ČSSD	NEOVLIVNI.CZ	443
ČSSD	ČT24	443
ČSSD	TN.CZ	425
ČSSD	EPORTÁL.cz	416
ČSSD	Aktuálně.cz	416
ČSSD	Týdeník Respekt	404
ČSSD	HlídacíPes.org	399
ČSSD	lidovky.cz	383
ČSSD	svobodnenoviny.eu	380
DSSS	ParlamentníListy.cz	712
DSSS	EuroZprávy.CZ	662
DSSS	Protiproud	603
DSSS	Českoaktuálně.cz	507
DSSS	Echo24.cz	424
DSSS	iDNES.cz	420
DSSS	svobodnenoviny.eu	383
DSSS	EPORTÁL.cz	331
DSSS	Bez politické korektnosti	317
DSSS	Novinky.cz	303
DSSS	AC24	274
DSSS	CzechFreePress	274
DSSS	Týden	271
DSSS	Časopis Šifra	270
DSSS	Deník.cz	241
DSSS	Sputnik Česká Republika	241
DSSS	TN.CZ	219
DSSS	inStory.cz	202
DSSS	Svobodné fórum	181
DSSS	Týdeník Policie	157
IvČRN	ParlamentníListy.cz	1998
IvČRN	EuroZprávy.CZ	1174
IvČRN	Protiproud	1033
IvČRN	iDNES.cz	938
IvČRN	Echo24.cz	876
IvČRN	EPORTÁL.cz	875
IvČRN	Českoaktuálně.cz	823
IvČRN	AC24	721
IvČRN	Novinky.cz	672
IvČRN	svobodnenoviny.eu	657
IvČRN	Bez politické korektnosti	655
IvČRN	CzechFreePress	464
IvČRN	DVTV	449
IvČRN	Svobodné fórum	448
IvČRN	Týden	445
IvČRN	Časopis Reflex	432
IvČRN	Sputnik Česká Republika	378
IvČRN	Časopis Šifra	353
