id	vytvoreno	text	Výběr	Koho odstřelil	Tag		problém
https://twitter.com/PREZIDENTmluvci/status/793028104943964160	Mon Oct 31 09:53:28 +0000 2016	Pan prezident se svojí paní navštíví ve dnech 2. - 4. listopadu 2016 Moravskoslezský kraj. Program naleznete zde: https://t.co/re8XNRCqIj					
https://twitter.com/PREZIDENTmluvci/status/792980174648344577	Mon Oct 31 06:43:01 +0000 2016	Návštěva dalajlamy na Foru 2000 [...] s sebou přinesla jeden detail: platil ji Antonín Koláček, kterého před dvěma roky švýčaský soud [...] https://t.co/2yeXJzOEGN	x	Antonín Koláček, dalajlama, Forum 2000	antonin kolacek, dalajlama, forum2000		2
https://twitter.com/PREZIDENTmluvci/status/792778138820415488	Sun Oct 30 17:20:12 +0000 2016	V úterý na TK jsem tlumočil stanovisko prezidenta republiky. Bude velmi dobře, když se s ním p. min. vnitra seznámí- https://t.co/f9QHlLvpOo	x	Milan Chovanec, ČSSD, opozice	milan chovanec, opozice, cssd		
https://twitter.com/PREZIDENTmluvci/status/792776357306654721	Sun Oct 30 17:13:07 +0000 2016	Slavnostní dekorování zasloužilých osobností na Pražském hradě rukou prezidenta Zemana bylo důstojné: https://t.co/oSpmDbgN1d	x	opozice	opozice		
https://twitter.com/PREZIDENTmluvci/status/792759222643613697	Sun Oct 30 16:05:02 +0000 2016	Pan ministr vnitra a pan Gazdík mi svorně přisuzují moc přímo nadlidskou. Takovému nižšímu státnímu úředníkovi... https://t.co/IGbxQmpfhN	x	Petr Gazdík, TOP09, Jiří Ovčáček	petr gazdik, top09, jiri ovcacek, opozice		
https://twitter.com/PREZIDENTmluvci/status/792691009008304128	Sun Oct 30 11:33:58 +0000 2016	https://t.co/9JweauZPfC	x	opozice	opozice		
https://twitter.com/PREZIDENTmluvci/status/792689580738809856	Sun Oct 30 11:28:18 +0000 2016	Bez komentáře. https://t.co/ej5vrfXmsU	x	opozice, Média	opozice, media		
https://twitter.com/PREZIDENTmluvci/status/792405874241335296	Sat Oct 29 16:40:57 +0000 2016	Angažovaným tvůrcům doporučím další námět. Nějakou pěknou satirku na téma Bakala, miliardy a OKD. https://t.co/ykwsAsK6tG	x	Zdeněk Bakala, Umělci, Městské divadlo ve Zlíně, opozice	zdenek bakala, umelci, mestske divadlo ve zline, opozice		2
https://twitter.com/PREZIDENTmluvci/status/792374709857951744	Sat Oct 29 14:37:07 +0000 2016	Pan prezident v projevu 28.10. připomněl slova dr. E. Beneše pronesená po mnichovské zradě. Dobový tisk z 6.10.1938. https://t.co/4MJGLDeSVN	x	opozice	opozice		
https://twitter.com/PREZIDENTmluvci/status/792337264479207424	Sat Oct 29 12:08:19 +0000 2016	Státní svátek 28.10. v kostce. Na Hradě důstojné oslavy, oceněny skvělé osobnosti. Na "Staromáku" kampaň Horáček-Gazdík a nenávistná zloba.	x	Michal Horáček, Petr Gazdík, TOP09, opozice	michal horacek, petr gazdik, opozice, top09		
