id	time	text	tags
792980174648344577	1477896181000	Návštěva dalajlamy na Foru 2000 [...] s sebou přinesla jeden detail: platil ji Antonín Koláček, kterého před dvěma roky švýčaský soud [...] https://t.co/2yeXJzOEGN	antonin kolacek,dalajlama,forum2000
792778138820415488	1477848012000	V úterý na TK jsem tlumočil stanovisko prezidenta republiky. Bude velmi dobře, když se s ním p. min. vnitra seznámí- https://t.co/f9QHlLvpOo	milan chovanec,opozice,cssd
792776357306654721	1477847587000	Slavnostní dekorování zasloužilých osobností na Pražském hradě rukou prezidenta Zemana bylo důstojné: https://t.co/oSpmDbgN1d	opozice
792759222643613697	1477843502000	Pan ministr vnitra a pan Gazdík mi svorně přisuzují moc přímo nadlidskou. Takovému nižšímu státnímu úředníkovi... https://t.co/IGbxQmpfhN	petr gazdik,top09,jiri ovcacek,opozice
792691009008304128	1477827238000	https://t.co/9JweauZPfC	opozice
792689580738809856	1477826898000	Bez komentáře. https://t.co/ej5vrfXmsU	opozice,media
792405874241335296	1477759257000	Angažovaným tvůrcům doporučím další námět. Nějakou pěknou satirku na téma Bakala, miliardy a OKD. https://t.co/ykwsAsK6tG	zdenek bakala,umelci,mestske divadlo ve zline,opozice
792374709857951744	1477751827000	Pan prezident v projevu 28.10. připomněl slova dr. E. Beneše pronesená po mnichovské zradě. Dobový tisk z 6.10.1938. https://t.co/4MJGLDeSVN	opozice
792337264479207424	1477742899000	Státní svátek 28.10. v kostce. Na Hradě důstojné oslavy, oceněny skvělé osobnosti. Na "Staromáku" kampaň Horáček-Gazdík a nenávistná zloba.	michal horacek,petr gazdik,opozice,top09
792082590836678656	1477682180000	Důstojné oslavy státního svátku 28.10. Společný snímek pana prezidenta s vyznamenanými osobnostmi a jejich blízkými. https://t.co/Zjyu4q4Lp5	opozice
792069132095283200	1477678971000	Vladislavský sál Hradu, projev pana prezidenta. Důstojně si připomeňme státní svátek 28.10. https://t.co/6AZAoEXt18	opozice
791982281091059717	1477658264000	Důstojné oslavy státního svátku 28.10. Společný snímek nově jmenovaných generálů s panem prezidentem. https://t.co/XK8H58asGF	opozice
791954283948183552	1477651589000	Důstojné oslavy státního svátku 28.10. Slavnostní přísaha vojáků Armády ČR. https://t.co/IRIsDBIx1Z	opozice
791949635413614592	1477650481000	Důstojné oslavy státního svátku 28.10. Za chvíli bude zahájena slavnostní přísaha vojáků Armády ČR. https://t.co/Lter5S0ScO	opozice
791941485750923264	1477648538000	Důstojné oslavy státního svátku 28.10. Pietní akt u Národního památníku na Vítkově. https://t.co/zuyotTNrOa	opozice
791905721298325505	1477640011000	Důstojné oslavy státního svátku 28.10. Zástupci prezidentské kanceláře uctili na Hradčanském náměstí památku TGM. https://t.co/rI22qZCgVC	opozice
791640107975573504	1477576684000	Čerstvé informace z důstojných oslav státního svátku naleznete také na FB stránce "28. říjen 2016 bez nenávisti": https://t.co/hPIPHnrwUD	opozice
791634319676739586	1477575304000	Důstojné oslavy státního svátku byly zahájeny. Pan prezident se tradičně setkal se členy diplomatického sboru. https://t.co/VcfUlI5O97	opozice
791576126216871936	1477561429000	Obviňování pana prezidenta kvůli kauze pořadu TV Prima je jen další lží Pražské kavárny, která místo pravdy a lásky šíří nenávist.	opozice,prazska kavarna,vaclav havel,media
791518385414762496	1477547663000	Protestní akci 28.10. spolupořádá agentura kandidáta na Hrad Horáčka. To nahrává tvrzení Hradu, že jde o kampaň: https://t.co/SlRU4Do9JJ	michal horacek,opozice
791270211521503233	1477488494000	Zásadní sdělení! Zveřejňuji e-mail, který jsem "zaslal" po setkání na slovenské ambasádě kolegovi. https://t.co/KrUxsVysy4	opozice,daniel herman,jiri brady,kdu-csl
791266450988294144	1477487597000	V těchto dnech je velmi užitečné znovu si přečíst něco o atmosféře za druhé republiky. https://t.co/SFjgwpjhDb	opozice
791235271689986049	1477480163000	Ministr Herman pokračuje v ostudě. Jako náhlý "důkaz" má posloužit podivný mail. Sám sobě svědkem: https://t.co/GmHSWuOL9Q	opozice,daniel herman,jiri brady,kdu-csl
791217439891681280	1477475912000	Překladový slovník Pražské kavárny. Občanská společnost = tzv. elita. Demokracie = vláda tzv. elity.	prazska kavarna,opozice
791213593467449344	1477474995000	Pražská kavárna soustavně pracuje na devastaci naší státnosti. Už zneuctila standartu prezidenta republiky, teď se pokouší zničit 28.10.	ztohoven,umelci,prazska kavarna,opozice
